sale_date,total_price
2026-04-09,11536.759999999998
2026-04-10,6454.49
2026-04-11,3002.3
2026-04-12,15913.0
2026-04-13,17038.37
2026-04-14,10287.06
2026-04-15,9839.17
2026-04-16,2615.04
2026-04-17,8771.02
2026-04-18,7221.82
2026-04-19,1724.6000000000001
2026-04-20,6370.73
2026-04-21,1692.55
2026-04-22,3381.7000000000003
2026-04-23,12454.93
2026-04-24,2723.8199999999997
2026-04-25,4117.77
2026-04-26,2191.8
2026-04-27,12449.39
2026-04-28,6225.49
2026-04-29,11311.93
2026-04-30,7249.17
2026-05-01,10589.12
2026-05-02,6078.62
2026-05-03,5201.5599999999995
2026-05-04,2065.34
2026-05-05,5577.099999999999
2026-05-06,5997.92
2026-05-07,9063.53
2026-05-08,7316.74
2026-05-09,9264.62
